filename,person,bicycle,car,motorbike,aeroplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,total

1.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
100.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1001.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1002.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1004.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1005.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1006.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1007.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1009.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
101.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1010.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1011.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1012.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1013.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1014.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1015.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1016.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1017.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
1018.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1019.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
102.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,2
1021.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1023.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1024.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1026.jpg,0,0,4,0,0,0,0,0,0,0,0,0,0,4
1028.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1029.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
103.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1030.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1031.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,2
1032.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1033.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1034.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1035.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1036.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1037.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1039.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1040.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1044.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1045.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1047.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1048.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1049.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
105.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1050.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1052.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1053.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1054.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1055.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,2
1056.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1057.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1058.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
106.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1061.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1062.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,2
1063.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1065.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1067.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1068.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1069.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,2
107.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1070.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,2
1071.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1074.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1075.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1076.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1077.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1078.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1079.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
108.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1081.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1082.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1083.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1087.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1088.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1089.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1090.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1091.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,1
